"TABLE_NAME","COLUMN_NAME","DATA_TYPE","NULLABLE","DESCRIPTION","PRIMARY_KEY","FK_CANDIDATE"
APPR_IMPORT_PAYMENT,RID,VARCHAR2,Y,Running ImportData,,Possible FK
APPR_IMPORT_PAYMENT,FILE_NAME,VARCHAR2,Y,ชื่อไฟล์นำเข้าจากธนาคาร,,
APPR_IMPORT_PAYMENT,IM_SEQ_NO,NUMBER,Y,Sequence No.( Running Sequence No.),,
APPR_IMPORT_PAYMENT,IM_BANK_CODE,VARCHAR2,Y,Bank Code,,
APPR_IMPORT_PAYMENT,IM_COMPANY_ACCOUNT,VARCHAR2,Y,Company Account,,
APPR_IMPORT_PAYMENT,IM_PAYMENT_DATE,DATE,Y,Payment Date (DDMMYYYY (วันที่รับชำระ)),,
APPR_IMPORT_PAYMENT,IM_PAYMENT_TIME,VARCHAR2,Y,Payment Time (HHMMSS (เวลาที่รับชำระ)),,
APPR_IMPORT_PAYMENT,IM_CUSTOMER_NAME,VARCHAR2,Y,Customer Name,,
APPR_IMPORT_PAYMENT,IM_REF1,VARCHAR2,Y,Customer No./Ref1,,
APPR_IMPORT_PAYMENT,IM_REF2,VARCHAR2,Y,Ref 2,,
APPR_IMPORT_PAYMENT,IM_REF3,VARCHAR2,Y,Ref 3,,
APPR_IMPORT_PAYMENT,IM_BRANCH_ID,VARCHAR2,Y,Branch No.,,Possible FK
APPR_IMPORT_PAYMENT,IM_TELLER_NO,VARCHAR2,Y,Teller No.,,
APPR_IMPORT_PAYMENT,IM_KIND_OF_TRANSECTION,VARCHAR2,Y,"Kind of Transaction (""C"" = Credit, ""D"" = Debit)",,
APPR_IMPORT_PAYMENT,IM_CHEQUE_NO,VARCHAR2,Y,Cheque No.,,
APPR_IMPORT_PAYMENT,IM_AMOUNT,NUMBER,Y,Amount,,
APPR_IMPORT_PAYMENT,IM_CHEQUE_BANK_CODE,VARCHAR2,Y,Cheque Bank Code,,
APPR_IMPORT_PAYMENT,IM_CHEQUE_BRANCH_CODE,VARCHAR2,Y,Cheque Branch Code,,
APPR_IMPORT_PAYMENT,IM_RECEIPT_NUMBER,VARCHAR2,Y,Receipt Number,,
APPR_IMPORT_PAYMENT,IM_SPACE,VARCHAR2,Y,Space,,
APPR_IMPORT_PAYMENT,IM_TRANSACTION_CODE,VARCHAR2,Y,Transaction Code,,
APPR_IMPORT_PAYMENT,APPL_TYPE,VARCHAR2,Y,รหัสระบบ,,
APPR_IMPORT_PAYMENT,STATUS_IM,VARCHAR2,Y,"สถานะข้อมูลที่นำเข้า (1=ไม่ตรงกับระบบ CBS,A=ถูกต้องนำไปสร้างรารยการใบเสร็จรับเงินได้)",,
APPR_IMPORT_PAYMENT,IMPORT_DATE,DATE,Y,วันที่นำเข้าข้อมูลธนาคาร,,
APPR_IMPORT_PAYMENT,IMPORT_TIME,VARCHAR2,Y,เวลาที่นำเข้าข้อมูลธนาคาร,,
APPR_IMPORT_PAYMENT,IMPORT_USER,VARCHAR2,Y,ผู้นำเข้าข้อมูลธนาคาร(รหัสพนักงาน หรือ รหัสระบบ),,
