"TABLE1","COLUMN1","TABLE2","COLUMN2"
MT_T_LICENSE_TYPE,AGENT_TYPE_ID,MT_T_REGIST_TYPE,AGENT_TYPE_ID
MT_T_REGIST_TYPE,AGENT_TYPE_ID,MT_T_LICENSE_TYPE,AGENT_TYPE_ID
IIQE_T_BILL_PAYMENT,BILLER_ID,MT_T_BILL_PAYMENT_SETTING,BILLER_ID
IIQE_T_BILL_PAYMENT,BILLER_ID,STG_T_BILL_PAYMENT,BILLER_ID
MT_T_BILL_PAYMENT_SETTING,BILLER_ID,IIQE_T_BILL_PAYMENT,BILLER_ID
MT_T_BILL_PAYMENT_SETTING,BILLER_ID,STG_T_BILL_PAYMENT,BILLER_ID
STG_T_BILL_PAYMENT,BILLER_ID,MT_T_BILL_PAYMENT_SETTING,BILLER_ID
STG_T_BILL_PAYMENT,BILLER_ID,IIQE_T_BILL_PAYMENT,BILLER_ID
BILLPAYMENTTEMP,BILL_PAYMENT_ID,C_BILLPAYMENTTEMP,BILL_PAYMENT_ID
BILLPAYMENTTEMP,BILL_PAYMENT_ID,G_BILLPAYMENTTEMP,BILL_PAYMENT_ID
C_BILLPAYMENTTEMP,BILL_PAYMENT_ID,G_BILLPAYMENTTEMP,BILL_PAYMENT_ID
C_BILLPAYMENTTEMP,BILL_PAYMENT_ID,BILLPAYMENTTEMP,BILL_PAYMENT_ID
G_BILLPAYMENTTEMP,BILL_PAYMENT_ID,C_BILLPAYMENTTEMP,BILL_PAYMENT_ID
G_BILLPAYMENTTEMP,BILL_PAYMENT_ID,BILLPAYMENTTEMP,BILL_PAYMENT_ID
MT_T_LICENSE_TYPE,BROKER_TYPE_ID,MT_T_REGIST_TYPE,BROKER_TYPE_ID
MT_T_REGIST_TYPE,BROKER_TYPE_ID,MT_T_LICENSE_TYPE,BROKER_TYPE_ID
MT_T_CORP_GROUP_PERMISSION,CORP_GROUP_ID,MT_T_CROP_PERMISSION,CORP_GROUP_ID
MT_T_CORP_GROUP_PERMISSION,CORP_GROUP_ID,MT_T_DATA_CORP,CORP_GROUP_ID
MT_T_CORP_GROUP_PERMISSION,CORP_GROUP_ID,MT_T_CORP_MEMBER,CORP_GROUP_ID
MT_T_CORP_GROUP_PERMISSION,CORP_GROUP_ID,MT_T_D_CORP_GROUP_PERMISSION,CORP_GROUP_ID
MT_T_CORP_GROUP_PERMISSION,CORP_GROUP_ID,STG_T_CORP_MEMBER,CORP_GROUP_ID
MT_T_CORP_MEMBER,CORP_GROUP_ID,MT_T_D_CORP_GROUP_PERMISSION,CORP_GROUP_ID
MT_T_CORP_MEMBER,CORP_GROUP_ID,MT_T_CORP_GROUP_PERMISSION,CORP_GROUP_ID
MT_T_CORP_MEMBER,CORP_GROUP_ID,MT_T_CROP_PERMISSION,CORP_GROUP_ID
MT_T_CORP_MEMBER,CORP_GROUP_ID,MT_T_DATA_CORP,CORP_GROUP_ID
MT_T_CORP_MEMBER,CORP_GROUP_ID,STG_T_CORP_MEMBER,CORP_GROUP_ID
MT_T_CROP_PERMISSION,CORP_GROUP_ID,MT_T_CORP_MEMBER,CORP_GROUP_ID
MT_T_CROP_PERMISSION,CORP_GROUP_ID,STG_T_CORP_MEMBER,CORP_GROUP_ID
MT_T_CROP_PERMISSION,CORP_GROUP_ID,MT_T_DATA_CORP,CORP_GROUP_ID
MT_T_CROP_PERMISSION,CORP_GROUP_ID,MT_T_CORP_GROUP_PERMISSION,CORP_GROUP_ID
MT_T_CROP_PERMISSION,CORP_GROUP_ID,MT_T_D_CORP_GROUP_PERMISSION,CORP_GROUP_ID
MT_T_DATA_CORP,CORP_GROUP_ID,MT_T_CORP_GROUP_PERMISSION,CORP_GROUP_ID
MT_T_DATA_CORP,CORP_GROUP_ID,MT_T_D_CORP_GROUP_PERMISSION,CORP_GROUP_ID
MT_T_DATA_CORP,CORP_GROUP_ID,STG_T_CORP_MEMBER,CORP_GROUP_ID
MT_T_DATA_CORP,CORP_GROUP_ID,MT_T_CROP_PERMISSION,CORP_GROUP_ID
MT_T_DATA_CORP,CORP_GROUP_ID,MT_T_CORP_MEMBER,CORP_GROUP_ID
MT_T_D_CORP_GROUP_PERMISSION,CORP_GROUP_ID,MT_T_CROP_PERMISSION,CORP_GROUP_ID
MT_T_D_CORP_GROUP_PERMISSION,CORP_GROUP_ID,MT_T_CORP_MEMBER,CORP_GROUP_ID
MT_T_D_CORP_GROUP_PERMISSION,CORP_GROUP_ID,STG_T_CORP_MEMBER,CORP_GROUP_ID
